material,unit_qty,total_qty,order#,ip,mtrl_total_qty,cumsumqty,prop,cumsum_prop,orderlimit,unit_qty2,order#2,total_qty2,Var_qty
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,10,8.0,17.0,136.0,0.0
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,10,9.0,1.0,9.0,0.0
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,10,10.0,7.0,70.0,0.0
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,10,10.0,30.217074889333496,302.170748893335,33.829251106665026
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,10,10.0,3.765817515309918,37.65817515309918,16.34182484690082
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,10,10.0,9.661478691981241,96.61478691981242,71.38521308018758
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,10,10.0,9.337815004603723,93.37815004603723,122.62184995396277
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,10,10.0,1.6812412373755872,16.812412373755873,31.187587626244127
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,10,10.0,9.286662482156343,92.86662482156343,267.13337517843655
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,10,10.0,2.03342375548695,20.3342375548695,87.6657624451305
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,10,10.0,2.255272505103306,22.55272505103306,157.44727494896694
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,12,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,12,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,12,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,12,6.0,176.0,1056.0,0.0
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,12,8.0,17.0,136.0,0.0
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,12,9.0,1.0,9.0,0.0
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,12,10.0,7.0,70.0,0.0
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,12,12.0,28.0,336.0,0.0
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,12,12.0,3.528273777167044,42.33928532600453,11.660714673995471
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,12,12.0,9.107209969647869,109.28651963577443,58.713480364225575
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,12,12.0,8.862727528317974,106.35273033981568,109.64726966018432
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,12,12.0,1.6020599913279623,19.224719895935547,28.775280104064453
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,12,12.0,8.890756251918218,106.6890750230186,253.3109249769814
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,12,12.0,1.954242509439325,23.4509101132719,84.5490898867281
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,12,12.0,2.1760912590556813,26.113095108668176,153.88690489133182
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,14,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,14,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,14,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,14,6.0,176.0,1056.0,0.0
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,14,8.0,17.0,136.0,0.0
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,14,9.0,1.0,9.0,0.0
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,14,10.0,7.0,70.0,0.0
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,14,12.0,28.0,336.0,0.0
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,14,14.0,3.327433408275204,46.584067715852854,7.4159322841471464
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,14,14.0,8.638582442233576,120.94015419127005,47.059845808729946
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,14,14.0,8.461046790534295,118.45465506748013,97.54534493251987
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,14,14.0,1.5351132016973492,21.49158482376289,26.50841517623711
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,14,14.0,8.556022303765152,119.78431225271213,240.21568774728786
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,14,14.0,1.8872957198087117,26.422140077321963,81.57785992267804
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,14,14.0,2.1091444694250683,29.528022571950956,150.47197742804906
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,16,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,16,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,16,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,16,6.0,176.0,1056.0,0.0
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,16,8.0,17.0,136.0,0.0
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,16,9.0,1.0,9.0,0.0
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,16,10.0,7.0,70.0,0.0
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,16,12.0,28.0,336.0,0.0
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,16,16.0,3.1534575673421434,50.455321077474295,3.544678922525705
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,16,16.0,8.23263881338977,131.7222210142363,36.27777898576369
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,16,16.0,8.113095108668174,129.8095217386908,86.19047826130921
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,16,16.0,1.4771212547196624,23.633940075514598,24.366059924485402
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,16,16.0,8.266062568876718,132.2570011020275,227.7429988979725
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,16,16.0,1.8293037728310249,29.268860365296398,78.7311396347036
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,16,16.0,2.0511525224473814,32.8184403591581,147.1815596408419
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,18,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,18,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,18,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,18,6.0,176.0,1056.0,0.0
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,18,8.0,17.0,136.0,0.0
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,18,9.0,1.0,9.0,0.0
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,18,10.0,7.0,70.0,0.0
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,18,12.0,28.0,336.0,0.0
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,18,18.0,3.0,54.0,0.0
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,18,18.0,7.874571156258099,141.7422808126458,26.257719187354212
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,18,18.0,7.8061799739838875,140.51123953170998,75.48876046829002
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,18,18.0,1.4259687322722812,25.66743718090106,22.33256281909894
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,18,18.0,8.01029995663981,144.1853992195166,215.8146007804834
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,18,18.0,1.7781512503836436,32.00672250690558,75.99327749309441
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,18,18.0,2.0,36.0,144.0
AK300,1.0,12.0,12.0,2.0,23149.0,12.0,0.0005183809235820122,0.0005183809235820122,2,1.0,12.0,12.0,0.0
AK300,2.0,8746.0,4373.0,2.0,23149.0,8758.0,0.3778132964706899,0.37833167739427187,2,2.0,4373.0,8746.0,0.0
AK300,3.0,3.0,1.0,2.0,23149.0,8761.0,0.00012959523089550306,0.3784612726251674,2,2.0,1.1760912590556813,2.3521825181113627,0.6478174818886373
